Beat_Number,Time_seconds,Time_mm:ss.ms
817,789.9185,13:09.918
818,790.8773,13:10.877
819,791.8360,13:11.836
820,792.8378,13:12.838
821,793.7965,13:13.797
822,794.7570,13:14.757
823,795.7152,13:15.715
824,796.6743,13:16.674
825,797.6757,13:17.676
826,798.6350,13:18.635
827,799.5952,13:19.595
828,800.5535,13:20.553
829,801.5130,13:21.513
830,802.5137,13:22.514
831,803.4737,13:23.474
832,804.4338,13:24.434
833,805.3922,13:25.392
834,806.3510,13:26.351
835,807.3523,13:27.352
836,808.3112,13:28.311
837,809.2715,13:29.271
838,810.2302,13:30.230
839,811.1888,13:31.189
840,812.1898,13:32.190
841,813.1500,13:33.150
842,814.1090,13:34.109
843,815.0685,13:35.068
844,816.0267,13:36.027
845,817.0293,13:37.029
846,817.9885,13:37.989
847,818.9475,13:38.947
848,819.9055,13:39.905
849,820.8652,13:40.865
850,821.8665,13:41.866
851,822.8257,13:42.826
852,823.7858,13:43.786
853,824.7445,13:44.745
854,825.7038,13:45.704
855,826.7050,13:46.705
856,827.6645,13:47.664
857,828.6235,13:48.624
858,829.5830,13:49.583
859,830.5427,13:50.543
860,831.5438,13:51.544
861,832.5020,13:52.502
862,833.4623,13:53.462
863,834.4205,13:54.420
864,835.3795,13:55.380
865,836.3810,13:56.381
866,837.3410,13:57.341
867,838.3007,13:58.301
868,839.2587,13:59.259
869,840.2178,14:00.218
870,841.2192,14:01.219
871,842.1790,14:02.179
872,843.1380,14:03.138
873,844.0973,14:04.097
874,845.0565,14:05.057
875,846.0575,14:06.058
876,847.0175,14:07.018
877,847.9760,14:07.976
878,848.9345,14:08.934
879,849.8943,14:09.894
880,850.8955,14:10.895
881,851.8552,14:11.855
882,852.8150,14:12.815
883,853.7730,14:13.773
884,854.7328,14:14.733
885,855.7345,14:15.735
886,856.6943,14:16.694
887,857.6522,14:17.652
888,858.6108,14:18.611
889,859.5707,14:19.571
890,860.5715,14:20.572
891,861.5320,14:21.532
892,862.4913,14:22.491
893,863.4493,14:23.449
894,864.4093,14:24.409
895,865.4100,14:25.410
896,866.3697,14:26.370
897,867.3297,14:27.330
898,868.2882,14:28.288
899,869.2470,14:29.247
900,870.2495,14:30.250
901,871.2090,14:31.209
902,872.1675,14:32.168
903,873.1247,14:33.125
904,874.0855,14:34.086
905,875.0862,14:35.086
906,876.0457,14:36.046
907,877.0055,14:37.005
908,877.9635,14:37.963
909,878.9235,14:38.923
910,879.9250,14:39.925
911,880.8842,14:40.884
912,881.8430,14:41.843
913,882.8027,14:42.803
914,883.7613,14:43.761
915,884.7630,14:44.763
916,885.7225,14:45.722
917,886.6830,14:46.683
918,887.6403,14:47.640
919,888.5997,14:48.600
920,889.6020,14:49.602
921,890.5598,14:50.560
922,891.5205,14:51.520
